TransactionID,TransactionTimestamp,TotalAmount
1,2026-04-20 05:51:02,27.25
2,2026-04-20 13:51:02,9.00
3,2026-04-22 06:51:02,62.25
4,2026-04-20 10:51:02,52.75
5,2026-04-24 11:51:02,16.50
6,2026-04-21 09:51:02,29.75
7,2026-04-21 18:51:02,30.50
8,2026-04-22 07:51:02,18.50
9,2026-04-25 10:51:02,12.00
10,2026-04-21 13:51:02,45.00
11,2026-04-25 23:51:02,10.50
12,2026-04-26 05:51:02,37.50
13,2026-04-22 20:51:02,16.50
14,2026-04-22 11:51:02,21.50
15,2026-04-26 02:51:02,24.50
16,2026-04-25 22:51:02,28.50
17,2026-04-25 17:51:02,6.00
18,2026-04-20 14:51:02,22.50
19,2026-04-23 11:51:02,24.50
20,2026-04-20 05:51:02,45.75
21,2026-04-22 17:51:02,47.25
22,2026-04-20 11:51:02,23.50
23,2026-04-20 20:51:02,25.50
24,2026-04-19 19:51:02,57.50
25,2026-04-23 11:51:02,22.00
26,2026-04-25 14:51:02,33.00
27,2026-04-22 01:51:02,14.75
28,2026-04-21 12:51:02,29.00
29,2026-04-24 01:51:02,21.00
30,2026-04-21 05:51:02,46.50
31,2026-04-21 18:51:02,16.50
32,2026-04-23 07:51:02,39.50
33,2026-04-24 12:51:02,34.75
34,2026-04-23 15:51:02,14.50
35,2026-04-25 22:51:02,26.75
36,2026-04-25 22:51:02,41.50
37,2026-04-26 11:51:02,42.75
38,2026-04-21 16:51:02,19.00
39,2026-04-25 22:51:02,35.25
40,2026-04-21 07:51:02,6.00
41,2026-04-20 02:51:02,19.00
42,2026-04-26 11:51:02,7.00
43,2026-04-22 15:51:02,35.50
44,2026-04-23 18:51:02,11.00
